,place_city,place_region,place_city_en,place_region_area,place_region_pop_2018,place_region_pop_2018_density,place_region_area_perc,place_region_vrp_2016,place_region_pop_2017,place_region_pop_2016,place_region_pop_diff_2017_2016,place_region_pop_diff_n_2017_2016,place_region_pop_diff_m_2017_2016,place_region_wage_2016,place_region_wage_2017,place_region_wage_2018,place_region_wage_diff_2018_2017,place_region_wage_diff_2017_2016,place_is_region_capital,place_region_pop_2017_density,place_region_pop_2016_density,place_region_pop_diff_2018_2017,place_city_lat,place_city_lon
0,Москва,Москва,4-Y MKR,2561.0,12506468.0,4883.4,0.015,14299.8,12380664.0,12330126.0,50538.0,21486.0,29052.0,60161.6,61277.5,70250.8,8973.3,1115.9,1,4834.3,4814.6,125804.0,55.750446,37.617494
1,Абакан,Республика Хакасия,ABAKAN,61569.0,537513.0,8.7,0.36,182.4,537668.0,536781.0,887.0,697.0,190.0,29311.5,31815.6,34525.0,2709.4,2504.1,1,8.7,8.7,-155.0,53.71529,91.438873
2,Абакан,Республика Хакасия,ABAKAN G,61569.0,537513.0,8.7,0.36,182.4,537668.0,536781.0,887.0,697.0,190.0,29311.5,31815.6,34525.0,2709.4,2504.1,1,8.7,8.7,-155.0,53.71529,91.438873
3,Ачинск,Красноярский край,ACHINSK,2366797.0,2876497.0,1.2,13.821,1767.9,2875301.0,2866490.0,8811.0,3983.0,4828.0,35423.9,37056.3,40617.2,3560.9,1632.4,0,1.2,1.2,1196.0,56.269485,90.495396
4,Ачинск,Красноярский край,ACHINSK G,2366797.0,2876497.0,1.2,13.821,1767.9,2875301.0,2866490.0,8811.0,3983.0,4828.0,35423.9,37056.3,40617.2,3560.9,1632.4,0,1.2,1.2,1196.0,56.269485,90.495396
5,Алдан,Республика Саха (Якутия),ALDAN,3083523.0,964330.0,0.3,18.006,868.6,962835.0,959689.0,3146.0,7299.0,-4153.0,50715.6,53327.7,60824.7,7497.0,2612.1,0,0.3,0.3,1495.0,58.608414,125.388222
6,Алдан,Республика Саха (Якутия),ALDAN G,3083523.0,964330.0,0.3,18.006,868.6,962835.0,959689.0,3146.0,7299.0,-4153.0,50715.6,53327.7,60824.7,7497.0,2612.1,0,0.3,0.3,1495.0,58.608414,125.388222
7,Алексин,Тульская область,ALEXIN G,25679.0,1491855.0,58.1,0.15,517.7,1499417.0,1506446.0,-7029.0,-10251.0,3222.0,26723.7,28564.2,31840.0,3275.8,1840.5,0,58.4,58.7,-7562.0,54.50281,37.066721
8,Альметьевск,Республика Татарстан,ALMETEVSK,67847.0,3894284.0,57.4,0.396,1937.6,3885253.0,3868730.0,16523.0,10643.0,5880.0,27988.3,29299.8,32164.8,2865.0,1311.5,0,57.3,57.0,9031.0,54.89965,52.301485
9,Альметьевск,Республика Татарстан,ALMETYEVSK,67847.0,3894284.0,57.4,0.396,1937.6,3885253.0,3868730.0,16523.0,10643.0,5880.0,27988.3,29299.8,32164.8,2865.0,1311.5,0,57.3,57.0,9031.0,54.89965,52.301485
10,Альметьевск,Республика Татарстан,ALMETYEVSK G,67847.0,3894284.0,57.4,0.396,1937.6,3885253.0,3868730.0,16523.0,10643.0,5880.0,27988.3,29299.8,32164.8,2865.0,1311.5,0,57.3,57.0,9031.0,54.89965,52.301485
11,Амурск,Хабаровский край,AMURSK,787633.0,1328302.0,1.7,4.599,637.7,1333294.0,1334552.0,-1258.0,328.0,-1586.0,37081.1,39582.8,43157.5,3574.7,2501.7,0,1.7,1.7,-4992.0,50.229942,136.901535
12,Амурск,Хабаровский край,AMURSK G,787633.0,1328302.0,1.7,4.599,637.7,1333294.0,1334552.0,-1258.0,328.0,-1586.0,37081.1,39582.8,43157.5,3574.7,2501.7,0,1.7,1.7,-4992.0,50.229942,136.901535
13,Анапа,Краснодарский край,ANAPA,75485.0,5603420.0,74.2,0.441,2015.9,5570945.0,5513804.0,57141.0,1436.0,55705.0,25233.2,27211.5,30617.1,3405.6,1978.3,0,73.8,73.0,32475.0,44.894272,37.316887
14,Анапа,Краснодарский край,ANAPA G,75485.0,5603420.0,74.2,0.441,2015.9,5570945.0,5513804.0,57141.0,1436.0,55705.0,25233.2,27211.5,30617.1,3405.6,1978.3,0,73.8,73.0,32475.0,44.894272,37.316887
15,Ангарск,Иркутская область,ANGARSK,774846.0,2404195.0,3.1,4.525,1068.7,2408901.0,2412800.0,-3899.0,3247.0,-7146.0,32684.1,34262.5,37959.6,3697.1,1578.4,0,3.1,3.1,-4706.0,52.531112,103.882611
16,Ангарск,Иркутская область,ANGARSK G,774846.0,2404195.0,3.1,4.525,1068.7,2408901.0,2412800.0,-3899.0,3247.0,-7146.0,32684.1,34262.5,37959.6,3697.1,1578.4,0,3.1,3.1,-4706.0,52.531112,103.882611
17,Архангельск,Архангельская область (без округа),ARKHANGELSK,413103.0,1111031.0,2.7,2.412,427.9,1121813.0,1130240.0,-8427.0,-2161.0,-6266.0,35851.4,37493.4,41783.6,4290.2,1642.0,1,2.7,2.7,-10782.0,64.543022,40.537121
